ステイタス,名称,対象エリア,URL,
公認,Code for Hakodate,北海道函館市,http://codeforhakodate.org,
公認昇格,Code for Akita,秋田県秋田市,https://code4akita.org,
公認,Code for Shiogama,宮城県塩竈市を中心に県全域,https://www.facebook.com/CodeForShiogama,
公認,CODE for AIZU,福島県会津若松市,http://aizu.io/,
公認,Code for Koriyama,福島県郡山市,http://koriyama.io/,
公認,Code for Ibaraki,茨城県,http://codeforibaraki.org,
公認,Code for Saitama,埼玉県,http://www.code4saitama.org/,
公認昇格,Code for Kumagaya,埼玉県熊谷市周辺,http://code4kumagaya.org/,
公認,Code for Kashiwa,千葉県柏市,http://www.code4kashiwa.org/,
公認,Code for Chiba,千葉県千葉市,http://code4chiba.org/,
公認,Code for Nagareyama,千葉県流山市,http://code-for-nagareyama.org,
公認昇格,Code for Matsudo,千葉県松戸市,https://codeformatsudo.doorkeeper.jp/,
公認,Code for Tokyo,東京都,http://codefor.tokyo,
公認昇格,Code for Suginami,東京都杉並区,https://www.facebook.com/CodeforSuginami/,
公認,Code for Setagaya,東京都世田谷区,https://www.facebook.com/codeforsetagaya,
公認昇格,Code for Tama,東京都多摩市,http://code4tama.org/,
公認,Code for Chofu,東京都調布市,https://www.facebook.com/codeforchofu,
公認,Code for Toshima,東京都豊島区,http://code4toshima.org,
公認,Code for Hachioji,東京都八王子市,http://code4hachioji.org/,
公認昇格,Code for Fuchu,東京都府中市,https://www.facebook.com/codeforfuchu/,
公認,Code for Kanagawa,神奈川県,http://code4kanagawa.org/,
公認,Code for Kawasaki (オープン川崎),神奈川県川崎市,http://codeforkawasaki.org/,
公認,Code for YOKOHAMA,神奈川県横浜市,http://code4.yokohama,
公認,Code for Numazu,静岡県沼津市,http://www.code4numazu.org/,
公認,Code for Niigata,新潟県（主に新潟市）,http://www.codeforniigata.org/,
公認,Code for Takaoka,富山県高岡市,http://code4takaoka.e-nat.org/,
公認,Code for Nanto,富山県南砺市,http://www.7104.info/codefor/,
公認,Code for Kanazawa,石川県,http://www.codeforkanazawa.org/,
公認,Code for Gifu,岐阜県,https://www.facebook.com/code4gifu/,
公認,Code for Nagoya,愛知県名古屋市,http://code4.nagoya,
公認,Code for MIKAWA,愛知県三河地方,http://uzura.org,
公認,Code for Shiga/Biwako,滋賀県,http://www.codeforshiga.org/,
公認昇格,Code for Kusatsu,滋賀県草津市,http://codeforkusatsu.org/,
公認,Code for Osaka,大阪府大阪市,http://code4.osaka,
公認,Code for Sakai,大阪府堺市,http://code4sakai.org/,
公認昇格,Code for Amagasaki,兵庫県尼崎市,https://c4ama.wordpress.com/,
公認,Code for Kobe,兵庫県神戸市,https://www.facebook.com/codeforkobe,
公認,Code for Nara,奈良県奈良市,https://www.facebook.com/Code4Nara,
公認,CODE for IKOMA,奈良県生駒市,http://code4ikoma.org/,
公認,Code for Kurashiki,岡山県倉敷市,http://code4kurashiki.org/,
公認,Code for Hiroshima,広島県広島市,http://code4hiroshima.org/,
公認,Code for DOGO,道後平野中心に愛媛県圏域,https://www.facebook.com/cfdogo/,
公認昇格,Code for Tokushima,徳島県,http://codefortokushima.org/,
公認,Code for Kitakyushu,福岡県北九州市,http://www.code4kitakyushu.org/,
公認,Code for KURUME,福岡県久留米市,http://code4kurume.org/,
公認,Code for Saga,佐賀県,http://code4saga.org/,
公認,Code for Okinawa,沖縄県,http://code4okinawa.org,
公認準備中,Code for Muroran,北海道室蘭市,https://ja.localwiki.org/mr/Code_for_Muroran,
公認準備中,Code for Mori,北海道森町,howml.org,
公認準備中,Kuriyama,北海道夕張郡栗山町,準備中,
公認準備中,Code for Aomori,青森県,codeforaomori.org,
公認準備中,Code for Shirakawa,福島県白河市,shirakawa-fukko.jimdo.com,
公認準備中,Code for TODA,埼玉県戸田市,http://www.codefortoda.org/,
公認準備中,Code for WAKO,埼玉県和光市,https://opencity.jp/wako/pages/gp/e_koeki/,
公認準備中,Code for Ichikawa,千葉県市川市,準備中,
公認準備中,Ichihara,千葉県市原市,準備中,
公認準備中,Code for Funabashi,千葉県船橋市,http://code4funabashi.org/,
公認準備中,Code for Yachiyo,千葉県八千代市,準備中,
新規申請,Code for INAGI,東京都稲城市,https://www.facebook.com/code4inagi/,
公認準備中,Code for Shinagawa,東京都品川区,http://code4shinagawa.org,
公認準備中,Code for Tachikawa,東京都立川市,準備中,
公認準備中,Code for Tokyo-Westβ,東京都多摩地域,準備中,
公認準備中,Code for Chuo,東京都中央区,準備中,
新規申請,Code for Nerima,東京都練馬区,http://code4nerima.org,
公認準備中,Code for Chigasaki,神奈川県茅ケ崎市,準備中,
公認準備中,Code for Yokosuka,神奈川県横須賀市,http://timecapsuleinc.org/news/,
公認準備中,Code for Shizuoka,静岡県,準備中,
公認準備中,Code for Tokai,東海地方,準備中,
新規申請,Code for Aichi,愛知県,https://www.code4aichi.org/,
公認準備中,Code for Toyama City,富山県富山市,http://codefortoyama.jimdo.com/,
公認準備中,Code for Sabae,福井県鯖江市,http://sabae.cc/,
公認準備中,Code for Kuwana,三重県桑名市,https://c4k987.wixsite.com/c4k987,
公認準備中,CODE for YAMATOKORIYAMA,奈良県大和郡山市,https://code4yk.jimdo.com/,
公認準備中,Code for Wakayama,和歌山県,準備中,
公認準備中,Code for Kyoto,京都府京都市,準備中,
公認準備中,Code for HigashiOsaka,大阪府東大阪市,準備中,
公認準備中,Code for Hyogo,兵庫県,準備中,
公認準備中,Code for Sasayama + Tamba,兵庫県篠山市、兵庫県丹波市,準備中,
公認準備中,Code for Fukuyama,広島県福山市,準備中,
公認準備中,Code for Tottori,鳥取県,http://code4tottori.org/,
新規申請,Code for Shimane,島根県,準備中,
公認降格,Code for Fukuoka,福岡県,http://www.codeforfukuoka.org/,
新規申請,Code for Ube,山口県宇部市,http://codeforube.thetechshare.org/,
公認準備中,Code for Shunan,山口県周南市,http://www.code4shunan.org,
公認準備中,Code for Beppu,大分県別府市,https://medium.com/code-for-beppu,
公認準備中,Code for MIYAZAKI,宮崎県（主に宮崎市）,http://www.code4miyazaki.org/,
